Use After Free in op_is_set_bp in radareorg/radare2,CVE-2022-1031,CWE-416: Use After Free,"   // note, we have still increased size of basic block
   // (and function)
   if (anal->verbose) {
    eprintf (""Enter branch delay at 0x%08""PFMT64x "". bb->sz=%""PFMT64u""\n"", at - oplen, bb->size);
   }
   delay.idx = idx - oplen;
   delay.cnt = op->delay;
   // swapped parameters wtf
   r_anal_xrefs_set (anal, op->addr, op->ptr, R_ANAL_REF_TYPE_DATA);
  }
  if (anal->opt.vars && !varset) {
   // XXX uses op.src/dst and fails because regprofile invalidates the regitems
   // lets just call this BEFORE retpoline() to avoid such issue
   r_anal_extract_vars (anal, fcn, op);
  }
  // this call may cause regprofile changes which cause ranalop.regitem references to be invalid
  analyze_retpoline (anal, op);
  switch (op->type & R_ANAL_OP_TYPE_MASK) {
  case R_ANAL_OP_TYPE_CMOV:
    fcn->bp_off = fcn->stack - op->src[0]->delta;
   }
   if (op->dst && op->dst->reg && op->dst->reg->name && op->ptr > 0 && op->ptr != UT64_MAX) {
    free (last_reg_mov_lea_name);
    if ((last_reg_mov_lea_name = strdup(op->dst->reg->name))) {
     last_reg_mov_lea_val = op->ptr;
     last_is_reg_mov_lea = true;
    }
   }
  }
#if 0
  if (anal->opt.vars && !varset) {
   // XXX uses op.src/dst and fails because regprofile invalidates the regitems
   // we must ranalop in here to avoid uaf
   r_anal_extract_vars (anal, fcn, op);
  }
#endif
  if (op->type != R_ANAL_OP_TYPE_MOV && op->type != R_ANAL_OP_TYPE_CMOV && op->type != R_ANAL_OP_TYPE_LEA) {
   last_is_reg_mov_lea = false;
  }
  free (vartype);
 } else {
  st64 frame_off = -(ptr + fcn->bp_off);
  if (maxstackframe > 0 && (frame_off > maxstackframe || frame_off < -maxstackframe)) {
   goto beach;
  }
  RAnalVar *var = get_stack_var (fcn, frame_off);
"
Segmentation Fault caused by MP4Box -lsr in gpac/gpac,CVE-2022-1035,CWE-476: NULL Pointer Dereference,"
 switch (field.fieldType) {
 case GF_SG_VRML_SFNODE:
  gf_dump_vrml_node(sdump, field.far_ptr ? *(GF_Node **)field.far_ptr : NULL, 0, NULL);

  return;
 case GF_SG_VRML_MFNODE:
  list = * ((GF_ChildNodeItem **) field.far_ptr);
"
Heap Buffer Overflow in iterate_chained_fixups in radareorg/radare2,CVE-2022-1052,CWE-122: Heap-based Buffer Overflow," if (header.starts_offset > size) {
  return false;
 }
 ut32 segs_count = r_buf_read_le32_at (bin->b, starts_at);
 if (segs_count == UT32_MAX || segs_count == 0) {
  return false;
 }
 bin->segs_count = segs_count;
 bin->chained_starts = R_NEWS0 (struct r_dyld_chained_starts_in_segment *, segs_count);
 if (!bin->chained_starts) {
  return false;
 }
 R_FREE (opcodes);

 bin->segs_count = bin->nsegs;
 return true;
}

 free (mo->intrp);
 free (mo->compiler);
 if (mo->chained_starts) {
  for (i = 0; i < mo->nsegs && i < mo->segs_count; i++) {
   if (mo->chained_starts[i]) {
    free (mo->chained_starts[i]->page_start);
    free (mo->chained_starts[i]);

void MACH0_(iterate_chained_fixups)(struct MACH0_(obj_t) *bin, ut64 limit_start, ut64 limit_end, ut32 event_mask, RFixupCallback callback, void * context) {
 int i = 0;
 for (; i < bin->nsegs && i < bin->segs_count; i++) {
  if (!bin->chained_starts[i]) {
   continue;
  }
 char *intrp;
 char *compiler;
 int nsegs;
 int segs_count;
 struct r_dyld_chained_starts_in_segment **chained_starts;
 struct dyld_chained_fixups_header fixups_header;
 ut64 fixups_offset;

R_API RCmdAliasVal *r_cmd_alias_get(RCmd *cmd, const char *k) {
 r_return_val_if_fail (cmd && cmd->aliases && k, NULL);
 return ht_pp_find (cmd->aliases, k, NULL);
}

static ut8 *alias_append_internal(int *out_szp, const RCmdAliasVal *first, const ut8 *second, int second_sz) {
"
Heap Buffer Overflow in parseDragons in radareorg/radare2,CVE-2022-1061,CWE-122: Heap-based Buffer Overflow,"
static RCoreSymCacheElement *parseDragons(RBinFile *bf, RBuffer *buf, int off, int bits, R_OWN char *file_name) {
 D eprintf (""Dragons at 0x%x\n"", off);
 st64 size = r_buf_size (buf);
 if (off >= size) {
  return NULL;
 }
 size -= off;
 if (!size) {
  return NULL;
 }
 if (size < 32) {
  return NULL;
 }
 ut8 *b = malloc (size);
 if (!b) {
  return NULL;
"
User after free in mrb_vm_exec in mruby/mruby,CVE-2022-1071,CWE-416: Use After Free,"        regs[a] = mrb_ary_entry(va, mrb_integer(vb));
        break;
      case MRB_TT_HASH:
        va = mrb_hash_get(mrb, va, vb);
        regs[a] = va;
        break;
      case MRB_TT_STRING:
        switch (mrb_type(vb)) {
        case MRB_TT_INTEGER:
        case MRB_TT_STRING:
        case MRB_TT_RANGE:
          va = mrb_str_aref(mrb, va, vb, mrb_undef_value());
          regs[a] = va;
          break;
        default:
          goto getidx_fallback;
    }

    CASE(OP_GETCONST, BB) {
      mrb_value v = mrb_vm_const_get(mrb, syms[b]);
      regs[a] = v;
      NEXT;
    }

    }

    CASE(OP_GETMCNST, BB) {
      mrb_value v = mrb_const_get(mrb, regs[a], syms[b]);
      regs[a] = v;
      NEXT;
    }

    CASE(OP_KARG, BB) {
      mrb_value k = mrb_symbol_value(syms[b]);
      mrb_int kidx = mrb_ci_kidx(mrb->c->ci);
      mrb_value kdict, v;

      if (kidx < 0 || !mrb_hash_p(kdict=regs[kidx]) || !mrb_hash_key_p(mrb, kdict, k)) {
        mrb_value str = mrb_format(mrb, ""missing keyword: %v"", k);
        mrb_exc_set(mrb, mrb_exc_new_str(mrb, E_ARGUMENT_ERROR, str));
        goto L_RAISE;
      }
      v = mrb_hash_get(mrb, kdict, k);
      regs[a] = v;
      mrb_hash_delete_key(mrb, kdict, k);
      NEXT;
    }
"
use after free in mrb_vm_exec in mruby/mruby,CVE-2022-1106,CWE-416: Use After Free,"    }

    CASE(OP_RANGE_INC, B) {
      mrb_value v = mrb_range_new(mrb, regs[a], regs[a+1], FALSE);
      regs[a] = v;
      mrb_gc_arena_restore(mrb, ai);
      NEXT;
    }

    CASE(OP_RANGE_EXC, B) {
      mrb_value v = mrb_range_new(mrb, regs[a], regs[a+1], TRUE);
      regs[a] = v;
      mrb_gc_arena_restore(mrb, ai);
      NEXT;
    }
"
Use after free in utf_ptr2char in vim/vim,CVE-2022-1154,CWE-416: Use After Free,"  int mark = OPERAND(scan)[0];
  int cmp = OPERAND(scan)[1];
  pos_T *pos;
  size_t col = REG_MULTI ? rex.input - rex.line : 0;

  pos = getmark_buf(rex.reg_buf, mark, FALSE);

  // Line may have been freed, get it again.
  if (REG_MULTI)
  {
      rex.line = reg_getline(rex.lnum);
      rex.input = rex.line + col;
  }

  if (pos == NULL       // mark doesn't exist
   || pos->lnum <= 0)   // mark isn't set in reg_buf
  {

func Test_using_mark_position()
  "" this was using freed memory
  "" new engine
  new
  norm O0
  call assert_fails(""s/\\%')"", 'E486:')
  bwipe!

  "" old engine
  new
  norm O0
  call assert_fails(""s/\\%#=1\\%')"", 'E486:')
  bwipe!
endfunc

func Test_using_visual_position()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4646,
/**/
    4645,
/**/
"
heap buffer overflow in get_one_sourceline in vim/vim,CVE-2022-1160,CWE-122: Heap-based Buffer Overflow,"  break;      // all the lines are processed
     ga_concat(&ga, ((char_u **)sp->buflines.ga_data)[sp->buf_lnum]);
     sp->buf_lnum++;
     if (ga_grow(&ga, 1) == FAIL)
  break;
     buf = (char_u *)ga.ga_data;
     buf[ga.ga_len++] = NUL;
 }
 else
 {
  %bw!
endfunc

func Test_source_buffer_long_line()
  "" This was reading past the end of the line.
  new
  norm300gr0
  so
  bwipe!
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4647,
/**/
    4646,
/**/
"
Null Pointer Dereference Caused Segmentation Fault in gpac/gpac,CVE-2022-1172,CWE-476: NULL Pointer Dereference,"  if (sfcb->buffer) {
   gf_free(sfcb->buffer);
   sfcb->buffer = NULL;
   sfcb->bufferSize = 0;
  }
  while (gf_list_count(sfcb->commandList)) {
   GF_Command *com = (GF_Command*)gf_list_get(sfcb->commandList, 0);
"
NULL Pointer Dereference in mrb_vm_exec with super in mruby/mruby,CVE-2022-1201,CWE-476: NULL Pointer Dereference,"      }
      else if (target_class->tt == MRB_TT_MODULE) {
        target_class = mrb_vm_ci_target_class(ci);
        if (!target_class || target_class->tt != MRB_TT_ICLASS) {
          goto super_typeerror;
        }
      }
"
Out-of-bounds read in radareorg/radare2,CVE-2022-1207,CWE-125: Out-of-bounds Read,"/* radare2 - LGPL - Copyright 2014-2022 - pancake */

#include <r_asm.h>
#include <r_lib.h>
 int opsize = -1;
 op->type = -1;
 opsize = 2;
 if (len < 1) {
  return -1;
 }
 switch (buf[0]) {
 case 0x3f:
 case 0x4f:
  op->type = R_ANAL_OP_TYPE_LEA;
  if (len > 5) {
   op->ptr = buf[2];
   op->ptr |= buf[3] << 8;
   op->ptr |= buf[4] << 16;
   op->ptr |= ((ut32)(0xff & buf[5])) << 24;
   op->ptr += addr;
   opsize = 6;
  } else {
  op->type = R_ANAL_OP_TYPE_CALL;
  if (len > 5) {
   st32 delta = buf[2];
   delta |= buf[3] << 8;
   delta |= buf[4] << 16;
   delta |= buf[5] << 24;
   op->jump = addr + delta;
  } else {
   op->jump = UT64_MAX;
  opsize = 6;
  break;
 case 0x00:
  if (len < 2) {
   break;
  }
  if (buf[1] == 0x00) {
   op->type = R_ANAL_OP_TYPE_TRAP;
  } else {
  }
  break;
 case 0xf0:
  if (len < 2) {
   break;
  }
  if (buf[1] == 0xb9) {
   op->type = R_ANAL_OP_TYPE_RET;
  }
  break;
 default:
  if (len < 2) {
   break;
  }
  switch (buf[1]) {
  case 0x00:
   op->type = R_ANAL_OP_TYPE_CJMP; // BCC
   op->type = R_ANAL_OP_TYPE_SHR;
   break;
  case 0x96: // move.d r, r
   if (buf[0] >= 0xc0) {
    op->type = R_ANAL_OP_TYPE_CMP;
   } else {
    op->type = R_ANAL_OP_TYPE_MOV;
  ""=PC pc\n""
  ""=SP r14\n"" // XXX
  ""=BP srp\n"" // XXX
  ""=SN r0\n""
  ""=A0 r0\n""
  ""=A1 r1\n""
  ""=A2 r2\n""
"
Use-After-Free in str_escape in mruby/mruby in mruby/mruby,CVE-2022-1212,CWE-416: Use After Free,"          }
          if (ci->cci > CINFO_NONE) {
            ci = cipop(mrb);
            mrb->exc = (struct RObject*)break_new(mrb, RBREAK_TAG_BREAK, proc, v);
            mrb_gc_arena_restore(mrb, ai);
            mrb->c->vmexec = FALSE;

            mrb->jmp = prev_jmp;
            MRB_THROW(prev_jmp);
          }
"
Inf loop in gpac/gpac,CVE-2022-1222,CWE-835: Infinite Loop,"
int avi_parse_input_file(avi_t *AVI, int getIndex)
{
 int rate, scale, idx_type;
 s64 n, i;
 unsigned char *hdrl_data;
 u64 header_offset=0;
 int hdrl_len=0;
    n -= 4;
   if(strnicmp(data,""hdrl"",4) == 0)
   {
    if (n>0xFFFFFFFF) ERR_EXIT(AVI_ERR_READ)
    hdrl_len = (u32) n;
    hdrl_data = (unsigned char *) gf_malloc((u32)n);
    if(hdrl_data==0) ERR_EXIT(AVI_ERR_NO_MEM);
      AVI->compressor2[4] = 0;

      if (n>40) {
       if (n>0xFFFFFFFF) ERR_EXIT(AVI_ERR_READ)
       AVI->extradata_size = (u32) (n - 40);
       AVI->extradata = gf_malloc(sizeof(u8)* AVI->extradata_size);
       if (!AVI->extradata) ERR_EXIT(AVI_ERR_NO_MEM)
       memcpy(AVI->extradata, hdrl_data + i + 40, AVI->extradata_size);
      }

"
Improper Validation of Array Index in radareorg/radare2,CVE-2022-1237,CWE-129: Improper Validation of Array Index,"/* radare - LGPL - Copyright 2019-2022 - GustavoLCR */

#include ""ne.h""

 RList *segments = r_list_newf (free);
 for (i = 0; i < bin->ne_header->SegCount; i++) {
  RBinSection *bs = R_NEW0 (RBinSection);

  if (!bs) {
   return segments;
  }
  NE_image_segment_entry *se = &bin->segment_entries[i];
  bs->size = se->length;
  bs->vsize = se->minAllocSz ? se->minAllocSz : 64000;
  bs->bits = R_SYS_BITS_16;
  return NULL;
 }

 ut16 *modref = calloc (bin->ne_header->ModRefs, sizeof (ut16));
 if (!modref) {
  return NULL;
 }
   continue;
  }
  off += 2;
  size_t buf_size = r_buf_size (bin->buf);
  while (off < start + length * sizeof (NE_image_reloc_item) && off < buf_size) {
   RBinReloc *reloc = R_NEW0 (RBinReloc);
   if (!reloc) {
    return NULL;
     break;
    }
    char *name;
    if (rel.index < 1 || rel.index > bin->ne_header->ModRefs) {
     name = r_str_newf (""UnknownModule%d_%x"", rel.index, off); // ????
    } else {
     int index = rel.index;
     offset = modref[index - 1] + bin->header_offset + bin->ne_header->ImportNameTable;
     name = __read_nonnull_str_at (bin->buf, offset);
    }
    if (rel.flags & IMPORTED_ORD) {
  return;
 }
 bin->buf = buf;
 // XXX this is endian unsafe
 r_buf_read_at (buf, bin->header_offset, (ut8 *)bin->ne_header, sizeof (NE_image_header));
 if (bin->ne_header->FileAlnSzShftCnt > 8) {
  bin->ne_header->FileAlnSzShftCnt = 8;
 }
 if (bin->ne_header->ModRefs * sizeof (ut16) >= r_buf_size (bin->buf)) {
  bin->ne_header->ModRefs = r_buf_size (bin->buf) / sizeof (ut16);
 }
 bin->alignment = 1 << bin->ne_header->FileAlnSzShftCnt;
 if (!bin->alignment) {
  bin->alignment = 1 << 9;
 }
 bin->os = __get_target_os (bin);

 ut16 offset = bin->ne_header->SegTableOffset + bin->header_offset;
 size_t size = bin->ne_header->SegCount * sizeof (NE_image_segment_entry);
 if (offset >= r_buf_size (bin->buf)) {
  return;
 }
 size_t remaining = r_buf_size (bin->buf) - offset;
 size = R_MIN (remaining, size);
 bin->segment_entries = calloc (1, size);
 if (size >= remaining) {
  bin->ne_header->SegCount = size / sizeof (NE_image_segment_entry);
 }
 if (!bin->segment_entries) {
  return;
 }
"
Heap-based Buffer Overflow in libr/bin/format/ne/ne.c in radareorg/radare2,CVE-2022-1238,CWE-805: Buffer Access with Incorrect Length Value," }
 int off = 0;
 while (off < bin->ne_header->EntryTableLength) {
  if (bin->entry_table + off + 32 >= r_buf_size (bin->buf)) {
   break;
  }
  ut8 bundle_length = *(ut8 *)(bin->entry_table + off);
  if (!bundle_length) {
   break;
    ut8 segnum = *(bin->entry_table + off);
    off++;
    ut16 segoff = *(ut16 *)(bin->entry_table + off);
    if (segnum > 0) {
     entry->paddr = (ut64)bin->segment_entries[segnum - 1].offset * bin->alignment + segoff;
    }
   } else { // Fixed
    entry->paddr = (ut64)bin->segment_entries[bundle_type - 1].offset * bin->alignment + *(ut16 *)(bin->entry_table + off);
   }
"
Heap buffer overflow in libr/bin/format/mach0/mach0.c in radareorg/radare2,CVE-2022-1240,CWE-122: Heap-based Buffer Overflow," for (i = 0; i < num; i++) {
  struct relocation_info a_info = info[i];
  ut32 sym_num = a_info.r_symbolnum;
  if (sym_num >= bin->nsymtab) {
   continue;
  }

"
heap-buffer-overflow in radareorg/radare2,CVE-2022-1244,CWE-122: Heap-based Buffer Overflow,"/* radare - LGPL - Copyright 2009-2022 nibble, pancake */

#include <r_types.h>
#include ""mach0_specs.h""
   if (deps && !deps[j]) {
    continue;
   }
   // ut64 pa = va2pa (img[j].address, hdr->mappingCount, &cache->maps[maps_index], cache->buf, 0, NULL, NULL);
   ut64 pa = va2pa (img[j].address, cache->n_maps, &cache->maps[maps_index], cache->buf, 0, NULL, NULL);
   if (pa == UT64_MAX) {
    continue;
   }
"
Out-of-bounds Read in mrb_get_args in mruby/mruby,CVE-2022-1276,CWE-125: Out-of-bounds Read,"          }
        }
        if (tree->cdr->car) {       /* keyword arguments */
          if (n == 13 || n == 14) {
            pop_n(n);
            genop_2(s, OP_ARRAY, cursp(), n);
            push();
"
NULL Pointer Dereference in r_bin_ne_get_entrypoints function in radareorg/radare2,CVE-2022-1283,CWE-476: NULL Pointer Dereference," }
 RList *entries = r_bin_ne_get_entrypoints (bin);
 bool resident = true, first = true;
 while (entries) {
  ut8 sz = r_buf_read8_at (bin->buf, off);
  if (!sz) {
   first = true;
}

RList *r_bin_ne_get_entrypoints(r_bin_ne_obj_t *bin) {
 if (!bin->entry_table) {
  return NULL;
 }
 RList *entries = r_list_newf (free);
 if (!entries) {
  return NULL;
"
heap-use-after-free in radareorg/radare2,CVE-2022-1284,CWE-416: Use After Free,"  arch = R2_ARCH_MIPS;
 }





 r_reg_arena_push (core->anal->reg);

 IterCtx ictx = { start, end, fcn, NULL };
    goto repeat;
   }
  }
  const char *sn = r_reg_get_name (core->anal->reg, R_REG_NAME_SN);
  if (!sn) {
   eprintf (""Warning: No SN reg alias for current architecture.\n"");
  }
  if (sn && op.type == R_ANAL_OP_TYPE_SWI) {
   r_strf_buffer (64);
   r_flag_space_set (core->flags, R_FLAGS_FS_SYSCALLS);
"
heap-buffer-overflow in mrb_vm_exec in mruby/mruby in mruby/mruby,CVE-2022-1286,CWE-122: Heap-based Buffer Overflow,"  MRB_CLASS_ORIGIN(c);
  h = c->mt;

  if (h && mt_del(mrb, h, mid)) {
    mrb_mc_clear_by_class(mrb, c);
    return;
  }
  mrb_name_error(mrb, mid, ""method '%n' not defined in %C"", mid, c);
}

"
Out-of-bounds read in `r_bin_ne_get_relocs` function in radareorg/radare2,CVE-2022-1296,CWE-125: Out-of-bounds Read,"/* radare - LGPL - Copyright 2019-2022 - GustavoLCR */

#include ""ne.h""


static char *__get_target_os(r_bin_ne_obj_t *bin) {
 switch (bin->ne_header->targOS) {
     free (reloc);
     break;
    }
    char *name = NULL;








    if (rel.index > bin->ne_header->ModRefs) {
     name = r_str_newf (""UnknownModule%d_%x"", rel.index, off); // ????
    } else if (rel.index > 0) {
     offset = modref[rel.index - 1] + bin->header_offset + bin->ne_header->ImportNameTable;
     name = __read_nonnull_str_at (bin->buf, offset);
    }

    if (rel.flags & IMPORTED_ORD) {
     imp->ordinal = rel.func_ord;
     char *fname = __func_name_from_ord (name, rel.func_ord);
     imp->name = r_str_newf (""%s.%s"", name, fname);
     free (fname);
    } else {
     offset = bin->header_offset + bin->ne_header->ImportNameTable + rel.name_off;
     char *func = __read_nonnull_str_at (bin->buf, offset);
    r_list_append (relocs, reloc);
   } else {
    do {
#define NE_BUG 0
#if NE_BUG
     if (reloc->paddr + 4 < r_buf_size (bin->buf)) {
      break;
NAME=NE crash
FILE=bins/ne/necrash
CMDS=<<EOF
aaa
i~format
i~csum
aflc
EOF
EXPECT=<<EOF
format   ne
hdr.csum c258016a
0
EOF
RUN
NAME=NE Symbols
FILE=bins/ne/anim8.exe
CMDS=is
"
Out-of-bounds Read in r_bin_ne_get_entrypoints function in radareorg/radare2,CVE-2022-1297,CWE-125: Out-of-bounds Read,"    off += 2;
    ut8 segnum = *(bin->entry_table + off);
    off++;
    if (off > bin->ne_header->EntryTableLength) {
     break;
    }
    ut16 segoff = r_read_le16 (bin->entry_table + off);
    if (segnum > 0 && segnum < bin->ne_header->SegCount) {
     entry->paddr = (ut64)bin->segment_entries[segnum - 1].offset * bin->alignment + segoff;
    }
   } else { // Fixed
    if (off + 2 >= bin->ne_header->EntryTableLength) {
     break;
    }
    ut16 delta = r_read_le16 (bin->entry_table + off);
    if (bundle_type < bin->ne_header->SegCount) {
     entry->paddr = (ut64)bin->segment_entries[bundle_type - 1].offset
      * bin->alignment + delta;
    }
   }
   off += 2;
"
global heap buffer overflow in skip_range in vim/vim,CVE-2022-1381,CWE-122: Heap-based Buffer Overflow," cmdmod_T    *cmod,
 int     skip_only)
{
    char_u  *orig_cmd = eap->cmd;
    char_u  *cmd_start = NULL;
    int     did_plus_cmd = FALSE;
    char_u  *p;
    int     starts_with_colon = FALSE;
    int     vim9script = in_vim9script();
   && curwin->w_cursor.lnum < curbuf->b_ml.ml_line_count)
 {
     eap->cmd = (char_u *)""+"";
     did_plus_cmd = TRUE;
     if (!skip_only)
  ex_pressedreturn = TRUE;
 }
     // Since the modifiers have been parsed put the colon on top of the
     // space: ""'<,'>mod cmd"" -> ""mod:'<,'>cmd
     // Put eap->cmd after the colon.
     if (did_plus_cmd)
     {
  size_t len = STRLEN(cmd_start);

  // Special case: empty command may have been changed to ""+"":
  //  ""'<,'>mod"" -> ""mod'<,'>+
  mch_memmove(orig_cmd, cmd_start, len);
  STRCPY(orig_cmd + len, ""'<,'>+"");
     }
     else
     {
  mch_memmove(cmd_start - 5, cmd_start, eap->cmd - cmd_start);
  eap->cmd -= 5;
  mch_memmove(eap->cmd - 1, "":'<,'>"", 6);
     }
 }
 else
     // No modifiers, move the pointer back.
     // Special case: empty command may have been changed to ""+"".
     if (did_plus_cmd)
  eap->cmd = (char_u *)""'<,'>+"";
     else
  eap->cmd = orig_cmd;
    }

    return OK;
  bwipe!
endfunc

"" This was accessing illegal memory when using ""+"" for eap->cmd.
func Test_empty_command_visual_mode()
  let lines =<< trim END
      r<sfile>
      0norm0V:
      :qall!
  END
  call writefile(lines, 'Xexmodescript')
  call assert_equal(1, RunVim([], [], '-u NONE -e -s -S Xexmodescript'))

  call delete('Xexmodescript')
endfunc


"" vim: shiftwidth=2 sts=2 expandtab

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4763,
/**/
    4762,
/**/
"
NULL Pointer Dereference in radareorg/radare2,CVE-2022-1382,CWE-476: NULL Pointer Dereference,"
RList *r_bin_ne_get_segments(r_bin_ne_obj_t *bin) {
 int i;
 if (!bin || !bin->segment_entries) {
  return NULL;
 }
 RList *segments = r_list_newf (free);
"
Heap-based Buffer Overflow in radareorg/radare2,CVE-2022-1383,CWE-122: Heap-based Buffer Overflow,"    sect->vaddr += page_zero_size;
   }
   cursor += word_size;
   if (cursor + word_size >= end) {
    break;
   }
   sect->size = r_read_ble (cursor, false, bits);
   cursor += word_size;
   if (cursor + word_size >= end) {
    break;
   }
   ut64 sect_name_off = r_read_ble (cursor, false, bits);
    cursor += word_size;
   }
   string_origin = relative_to_strings? b + start_of_strings : sect_start;
   if (sect_name_off < (ut64)(size_t)(end - string_origin)) {
    sect->name = str_dup_safe (b, string_origin + sect_name_off, end);
   } else {
    sect->name = strdup ("""");
   }
  }
 }
 if (hdr->n_symbols) {
"
Use of Out-of-range Pointer Offset in vim/vim,CVE-2022-1420,CWE-823: Use of Out-of-range Pointer Offset," INIT(= N_(""E1273: (NFA regexp) missing value in '\\%%%c'""));
EXTERN char e_no_script_file_name_to_substitute_for_script[]
 INIT(= N_(""E1274: No script file name to substitute for \""<script>\""""));
#ifdef FEAT_EVAL
EXTERN char e_string_or_function_required_for_arrow_parens_expr[]
 INIT(= N_(""E1275: String or function required for ->(expr)""));
#endif
 ++*arg;
 ret = eval1(arg, rettv, evalarg);
 *arg = skipwhite_and_linebreak(*arg, evalarg);
 if (**arg != ')')
 {
     emsg(_(e_missing_closing_paren));
     return FAIL;
 }
 if (rettv->v_type != VAR_STRING && rettv->v_type != VAR_FUNC
            && rettv->v_type != VAR_PARTIAL)
 {
     emsg(_(e_string_or_function_required_for_arrow_parens_expr));
     return FAIL;
 }
 ++*arg;
    }
    if (ret != OK)
 return FAIL;

    if (**arg != '(')
    {
 if (verbose)
 {
  echo assert_fails('echo 10->{a -> a + 2}', 'E107:')

  call assert_fails('eval 0->(', ""E110: Missing ')'"")
  call assert_fails('eval 0->(3)()', ""E1275:"")
  call assert_fails('eval 0->([3])()', ""E1275:"")
  call assert_fails('eval 0->({""a"": 3})()', ""E1275:"")
  call assert_fails('eval 0->(xxx)()', ""E121:"")
endfunc

func Test_not_lamda()

static int included_patches[] =
{   /* Add new patch number below this line */
/**/
    4774,
/**/
    4773,
/**/
"
Out-of-bounds Read in mrb_obj_is_kind_of in in mruby/mruby,CVE-2022-1427,CWE-125: Out-of-bounds Read,"        mrb_exc_set(mrb, exc);
        goto L_RAISE;
      }
      if ((target_class->flags & MRB_FL_CLASS_IS_PREPENDED) || target_class->tt == MRB_TT_MODULE) {



        target_class = mrb_vm_ci_target_class(ci);
        if (!target_class || target_class->tt != MRB_TT_ICLASS) {
          goto super_typeerror;
"
Heap-based Buffer Overflow in radareorg/radare2,CVE-2022-1437,CWE-122: Heap-based Buffer Overflow,"  for (i = 0; i < hdr->n_sections && cursor < end; i++) {
   ut8 *sect_start = cursor;
   RCoreSymCacheElementSection *sect = &result->sections[i];
   if (cursor + (word_size * 4) > end) {
    goto beach;
   }
   sect->vaddr = sect->paddr = r_read_ble (cursor, false, bits);
   if (sect->vaddr < page_zero_size) {
    sect->vaddr += page_zero_size;
    continue;
   }
   string_origin = relative_to_strings? b + start_of_strings : cursor;
   if (!string_origin) {
    cursor += R_CS_EL_SIZE_LSYM;
    continue;
   }
   lsym->flc.file = str_dup_safe (b, string_origin + file_name_off, end);
   if (!lsym->flc.file) {
    cursor += R_CS_EL_SIZE_LSYM;
}

static RList *symbols(RBinFile *bf) {
 r_return_val_if_fail (bf && bf->o && bf->o->bin_obj, NULL);

 RCoreSymCacheElement *element = bf->o->bin_obj;
 size_t i;
 HtUU *hash = ht_uu_new0 ();
 if (!hash) {
  return NULL;
 }
 RList *res = r_list_newf ((RListFree)r_bin_symbol_free);
 bool found = false;
 if (element->lined_symbols) {
  for (i = 0; i < element->hdr->n_lined_symbols; i++) {
   RCoreSymCacheElementSymbol *sym = (RCoreSymCacheElementSymbol *)&element->lined_symbols[i];
   if (!sym) {
    break;
   }
   ht_uu_find (hash, sym->paddr, &found);
   if (found) {
    continue;
   }
   RBinSymbol *s = bin_symbol_from_symbol (element, sym);
   if (s) {
    r_list_append (res, s);
    ht_uu_insert (hash, sym->paddr, 1);
   }
  }
 }
 if (element->symbols) {
"
heap-use-after-free in radareorg/radare2,CVE-2022-1444,CWE-416: Use After Free," r_return_val_if_fail (tree && data && cmp, false);
 bool inserted = false;

 if (!tree->root) {
  tree->root = _node_new (data, NULL);
  if (!tree->root) {
   return false;
  }
  inserted = true;
"
Out-of-bounds Read in r_bin_java_constant_value_attr_new function in radareorg/radare2,CVE-2022-1451,CWE-788: Access of Memory Location After End of Buffer,"}

R_API ut8 *r_bin_java_get_attr_buf(RBinJavaObj *bin, ut64 sz, const ut64 offset, const ut8 *buf, const ut64 len) {
 // XXX this pending is wrong and too expensive
 int pending = len - offset;
 const ut8 *a_buf = offset + buf;
 ut8 *attr_buf = (ut8 *) calloc (pending + 1, 1);
 if (!attr_buf) {
  eprintf (""Unable to allocate enough bytes (0x%04""PFMT64x
   "") to read in the attribute.\n"", sz);
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 if (attr) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_CONST_VALUE_ATTR;
  if (offset + 4 < sz) {
   attr->info.constant_value_attr.constantvalue_idx = R_BIN_JAVA_USHORT (buffer, offset);
  }
  offset += 2;
  attr->size = offset;
 }

R_API RBinJavaAttrInfo *r_bin_java_rti_annotations_attr_new(RBinJavaObj *bin, ut8 *buffer, ut64 sz, ut64 buf_offset) {
 ut32 i = 0;

 ut64 offset = 0;
 if (buf_offset + 32 >= sz) {
  return NULL;
 }
 RBinJavaAttrInfo *attr = r_bin_java_default_attr_new (bin, buffer, sz, buf_offset);
 offset += 6;
 if (attr) {
  attr->type = R_BIN_JAVA_ATTR_TYPE_RUNTIME_INVISIBLE_ANNOTATION_ATTR;
"
